id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_daging,satuan,tahun
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,122527,KILOGRAM,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,146662,KILOGRAM,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61212,KILOGRAM,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,156419,KILOGRAM,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,100753,KILOGRAM,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,218556,KILOGRAM,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15129,KILOGRAM,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,271375,KILOGRAM,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31428,KILOGRAM,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5957,KILOGRAM,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,17333,KILOGRAM,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1060,KILOGRAM,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,2443,KILOGRAM,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,261923,KILOGRAM,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,3639882,KILOGRAM,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,456220,KILOGRAM,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,940,KILOGRAM,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5751,KILOGRAM,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,5626,KILOGRAM,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,347540,KILOGRAM,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,26019,KILOGRAM,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,173889,KILOGRAM,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35105,KILOGRAM,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,52518,KILOGRAM,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,81866,KILOGRAM,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,156813,KILOGRAM,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,41050,KILOGRAM,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,40298,KILOGRAM,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,130498,KILOGRAM,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79806,KILOGRAM,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,164246,KILOGRAM,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,106813,KILOGRAM,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,431984,KILOGRAM,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50833,KILOGRAM,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,281020,KILOGRAM,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9081,KILOGRAM,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8795,KILOGRAM,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,18644,KILOGRAM,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,3480,KILOGRAM,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,8987,KILOGRAM,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,22748,KILOGRAM,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,4820511,KILOGRAM,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,168931,KILOGRAM,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,47,KILOGRAM,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12123,KILOGRAM,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,6793,KILOGRAM,2019
109,32, JAWA BARAT,3201, KABUPATEN BOGOR,370990,KILOGRAM,2020
110,32, JAWA BARAT,3202, KABUPATEN SUKABUMI,27690,KILOGRAM,2020
111,32, JAWA BARAT,3203, KABUPATEN CIANJUR,72224,KILOGRAM,2020
112,32, JAWA BARAT,3204, KABUPATEN BANDUNG,13246,KILOGRAM,2020
113,32, JAWA BARAT,3205, KABUPATEN GARUT,326930,KILOGRAM,2020
114,32, JAWA BARAT,3206, KABUPATEN TASIKMALAYA,98910,KILOGRAM,2020
115,32, JAWA BARAT,3207, KABUPATEN CIAMIS,173327,KILOGRAM,2020
116,32, JAWA BARAT,3208, KABUPATEN KUNINGAN,35019,KILOGRAM,2020
117,32, JAWA BARAT,3209, KABUPATEN CIREBON,78308,KILOGRAM,2020
118,32, JAWA BARAT,3210, KABUPATEN MAJALENGKA,126894,KILOGRAM,2020
119,32, JAWA BARAT,3211, KABUPATEN SUMEDANG,7407,KILOGRAM,2020
120,32, JAWA BARAT,3212, KABUPATEN INDRAMAYU,165181,KILOGRAM,2020
121,32, JAWA BARAT,3213, KABUPATEN SUBANG,157549,KILOGRAM,2020
122,32, JAWA BARAT,3214, KABUPATEN PURWAKARTA,203986,KILOGRAM,2020
123,32, JAWA BARAT,3215, KABUPATEN KARAWANG,18081,KILOGRAM,2020
124,32, JAWA BARAT,3216, KABUPATEN BEKASI,282411,KILOGRAM,2020
125,32, JAWA BARAT,3217, KABUPATEN BANDUNG BARAT,9174,KILOGRAM,2020
126,32, JAWA BARAT,3218, KABUPATEN PANGANDARAN,15839,KILOGRAM,2020
127,32, JAWA BARAT,3271, KOTA BOGOR,4570,KILOGRAM,2020
128,32, JAWA BARAT,3272, KOTA SUKABUMI,39132,KILOGRAM,2020
129,32, JAWA BARAT,3273, KOTA BANDUNG,0,KILOGRAM,2020
130,32, JAWA BARAT,3274, KOTA CIREBON,48210,KILOGRAM,2020
131,32, JAWA BARAT,3275, KOTA BEKASI,3324682,KILOGRAM,2020
132,32, JAWA BARAT,3276, KOTA DEPOK,171595,KILOGRAM,2020
133,32, JAWA BARAT,3277, KOTA CIMAHI,47,KILOGRAM,2020
134,32, JAWA BARAT,3278, KOTA TASIKMALAYA,12222,KILOGRAM,2020
135,32, JAWA BARAT,3279, KOTA BANJAR,6477,KILOGRAM,2020
136,32, JAWA BARAT,3201, KABUPATEN BOGOR,214966,KILOGRAM,2021
137,32, JAWA BARAT,3202, KABUPATEN SUKABUMI,27828,KILOGRAM,2021
138,32, JAWA BARAT,3203, KABUPATEN CIANJUR,91219,KILOGRAM,2021
139,32, JAWA BARAT,3204, KABUPATEN BANDUNG,32297,KILOGRAM,2021
140,32, JAWA BARAT,3205, KABUPATEN GARUT,5232,KILOGRAM,2021
141,32, JAWA BARAT,3206, KABUPATEN TASIKMALAYA,132148,KILOGRAM,2021
142,32, JAWA BARAT,3207, KABUPATEN CIAMIS,69691,KILOGRAM,2021
143,32, JAWA BARAT,3208, KABUPATEN KUNINGAN,49360,KILOGRAM,2021
144,32, JAWA BARAT,3209, KABUPATEN CIREBON,50700,KILOGRAM,2021
145,32, JAWA BARAT,3210, KABUPATEN MAJALENGKA,124425,KILOGRAM,2021
146,32, JAWA BARAT,3211, KABUPATEN SUMEDANG,0,KILOGRAM,2021
147,32, JAWA BARAT,3212, KABUPATEN INDRAMAYU,167418,KILOGRAM,2021
148,32, JAWA BARAT,3213, KABUPATEN SUBANG,83294,KILOGRAM,2021
149,32, JAWA BARAT,3214, KABUPATEN PURWAKARTA,142856,KILOGRAM,2021
150,32, JAWA BARAT,3215, KABUPATEN KARAWANG,14972,KILOGRAM,2021
151,32, JAWA BARAT,3216, KABUPATEN BEKASI,284673,KILOGRAM,2021
152,32, JAWA BARAT,3217, KABUPATEN BANDUNG BARAT,9330,KILOGRAM,2021
153,32, JAWA BARAT,3218, KABUPATEN PANGANDARAN,12119,KILOGRAM,2021
154,32, JAWA BARAT,3271, KOTA BOGOR,4570,KILOGRAM,2021
155,32, JAWA BARAT,3272, KOTA SUKABUMI,26366,KILOGRAM,2021
156,32, JAWA BARAT,3273, KOTA BANDUNG,0,KILOGRAM,2021
157,32, JAWA BARAT,3274, KOTA CIREBON,9740,KILOGRAM,2021
158,32, JAWA BARAT,3275, KOTA BEKASI,866768,KILOGRAM,2021
159,32, JAWA BARAT,3276, KOTA DEPOK,160531,KILOGRAM,2021
160,32, JAWA BARAT,3277, KOTA CIMAHI,6934,KILOGRAM,2021
161,32, JAWA BARAT,3278, KOTA TASIKMALAYA,4208,KILOGRAM,2021
162,32, JAWA BARAT,3279, KOTA BANJAR,6020,KILOGRAM,2021
